Minutes,Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID,Altitude (m)
14.6667,0,22.5072,176,0.02764,63,87,0,1475.6
14.6833,0,23.6124,141,0.03419,53,90,0,1475.6
14.7,0,24.354,142,0.04096,55,92,0,1475.6
14.7167,0,24.6888,121,0.04782,57,94,0,1475.6
14.7333,0,24.9588,62,0.05475,58,97,0,1475.8
14.75,0,25.362,62,0.06179,59,100,0,1475.8
14.7667,0,25.9308,103,0.069,60,103,0,1475.8
14.7833,0,26.9064,120,0.07648,61,104,0,1475.8
14.8,0,27.7128,128,0.08417,63,107,0,1475.8
14.8167,0,28.4508,154,0.09207,65,109,0,1475.6
14.8333,0,29.2248,154,0.10019,67,110,0,1475.6
14.85,0,30.1968,159,0.10858,68,112,0,1475.6
14.8667,0,31.0716,167,0.11722,71,113,0,1475.6
14.8833,0,31.8096,164,0.12605,73,114,0,1475.6
14.9,0,32.7492,168,0.13514,75,115,0,1475.6
14.9167,0,32.9508,164,0.14429,77,117,0,1475.6
14.9333,0,34.2288,153,0.1538,79,118,0,1475.8
14.95,0,35.0028,174,0.16352,81,119,0,1475.8
14.9667,0,35.8092,169,0.17347,82,120,0,1476
14.9833,0,36.2772,143,0.18355,84,122,0,1476
15,0,36.882,95,0.19379,86,123,0,1476
15.0167,0,37.2852,75,0.20415,87,124,0,1476
15.0333,0,37.5552,80,0.21459,88,125,0,1475.8
15.05,0,38.0592,84,0.22515,89,126,0,1475.8
15.0667,0,38.5956,92,0.23587,83,127,0,1475.8
15.0833,0,39.4704,151,0.24684,80,129,0,1475.8
15.1,0,40.2084,150,0.25801,82,130,0,1475.6
15.1167,0,40.9464,164,0.26938,83,131,0,1475.6
15.1333,0,41.5836,172,0.28093,85,132,0,1475.4
15.15,0,42.39,163,0.29271,86,132,0,1475.4
15.1667,0,42.894,165,0.30462,87,133,0,1475.4
15.1833,0,43.5996,144,0.31673,89,133,0,1475.2
15.2,0,43.938,125,0.32894,90,134,0,1475.2
15.2167,0,44.442,123,0.3413,91,135,0,1475.2
15.2333,0,45.0432,153,0.3538,92,135,0,1475.2
15.25,0,45.414,123,0.36641,93,136,0,1475.2
15.2667,0,46.0188,157,0.37921,94,136,0,1475.2
15.2833,0,46.5912,169,0.39214,90,137,0,1475.2
15.3,0,47.0268,186,0.4052,86,137,0,1475.2
15.3167,0,47.8332,180,0.41849,86,138,0,1475.2
15.3333,0,48.2688,150,0.43189,88,138,0,1475.2
15.35,0,48.708,161,0.44542,88,138,0,1475.2
15.3667,0,49.3092,160,0.45912,89,139,0,1475.2
15.3833,0,49.8132,155,0.47296,90,139,0,1475.2
15.4,0,50.0508,146,0.48686,91,140,0,1475.4
15.4167,0,50.5188,167,0.50089,92,140,0,1475.2
15.4333,0,50.7564,71,0.51499,92,140,0,1475.2
15.45,0,50.9904,80,0.52916,93,140,0,1475.2
15.4667,0,50.9904,61,0.54332,93,141,0,1475
15.4833,0,50.9904,50,0.55748,93,141,0,1475
15.5,0,51.3252,73,0.57174,94,141,0,1475
15.5167,0,51.4944,42,0.58605,94,141,0,1475
15.5333,0,51.6636,67,0.6004,94,141,0,1474.6
15.55,0,51.8292,77,0.61481,95,141,0,1474.6
15.5667,0,52.2324,96,0.6293,95,141,0,1474.4
15.5833,0,52.2324,94,0.64381,87,141,0,1474.4
15.6,0,52.5024,102,0.6584,83,141,0,1474.6
15.6167,0,52.8372,89,0.67307,84,140,0,1474.6
15.6333,0,53.0064,93,0.6878,84,140,0,1474.6
15.65,0,53.172,115,0.70257,85,140,0,1474.6
15.6667,0,53.5104,118,0.71743,85,140,0,1474.4
15.6833,0,53.8776,126,0.73241,85,140,0,1474.4
15.7,0,54.2484,142,0.74747,86,140,0,1474.2
15.7167,0,54.6192,123,0.76264,86,140,0,1474.2
15.7333,0,54.8856,122,0.77788,87,140,0,1474
15.75,0,55.5588,144,0.79332,88,140,0,1474
15.7667,0,55.728,149,0.8088,88,140,0,1474
15.7833,0,56.3328,143,0.82444,89,140,0,1474
15.8,0,56.4984,156,0.84014,90,140,0,1474
15.8167,0,56.9016,104,0.85595,90,140,0,1473.8
15.8333,0,57.5064,119,0.87192,91,140,0,1473.8
15.85,0,57.708,135,0.88795,92,141,0,1473.8
15.8667,0,58.1436,128,0.9041,92,140,0,1473.6
15.8833,0,58.446,136,0.92034,93,140,0,1473.6
15.9,0,58.7484,140,0.93666,93,141,0,1473.6
15.9167,0,59.0868,107,0.95307,91,140,0,1473.6
15.9333,0,59.1876,118,0.96951,84,141,0,1473.6
15.95,0,59.6232,106,0.98607,84,141,0,1473.4
15.9667,0,59.8572,119,1.0027,85,141,0,1473.4
15.9833,0,60.2964,132,1.01946,85,141,0,1473.4
16,0,60.732,152,1.03632,86,142,0,1473.4
16.0167,0,61.2036,141,1.05332,86,142,0,1473.2
16.0333,0,61.2036,138,1.07032,87,142,0,1473.2
16.05,0,61.6716,110,1.08747,87,143,0,1473
16.0667,0,61.9056,150,1.10465,87,143,0,1473
16.0833,0,61.9056,125,1.12184,88,143,0,1473
16.1,0,62.5104,133,1.13921,88,143,0,1472.8
16.1167,0,62.3772,151,1.15655,88,143,0,1473
16.1333,0,62.8812,148,1.174,89,144,0,1473
16.15,0,62.8812,138,1.19148,89,144,0,1473
16.1667,0,63.3528,155,1.20906,89,144,0,1473
16.1833,0,63.3528,141,1.22666,90,145,0,1473
16.2,0,63.6192,138,1.24433,90,145,0,1472.8
16.2167,0,63.6192,122,1.26202,90,145,0,1472.8
16.2333,0,63.8568,113,1.27976,90,145,0,1472.8
16.25,0,63.8568,118,1.29748,89,145,0,1472.6
16.2667,0,64.3608,152,1.31538,79,145,0,1472.6
16.2833,0,64.6272,157,1.33331,80,145,0,1472.6
16.3,0,64.6272,165,1.35126,80,145,0,1472.6
16.3167,0,65.1312,178,1.36936,80,145,0,1472.6
16.3333,0,65.6712,162,1.3876,81,145,0,1472.6
16.35,0,65.6712,158,1.40586,81,146,0,1472.6
16.3667,0,66.2076,84,1.42425,82,146,0,1472.6
16.3833,0,66.5424,100,1.44271,82,147,0,1472.6
16.4,0,67.014,137,1.46135,82,147,0,1472.6
16.4167,0,66.9456,166,1.47992,83,147,0,1472.6
16.4333,0,67.5828,143,1.4987,83,147,0,1472.4
16.45,0,67.5828,108,1.51747,84,147,0,1472.2
16.4667,0,67.8528,130,1.53632,84,148,0,1472.2
16.4833,0,68.1552,123,1.55525,84,147,0,1472.2
16.5,0,68.4252,126,1.57426,84,147,0,1472
16.5167,0,68.4252,98,1.59326,85,147,0,1472
16.5333,0,68.7276,99,1.61236,85,146,0,1472
16.55,0,69.03,137,1.63153,85,147,0,1471.8
16.5667,0,69.3324,116,1.65079,86,147,0,1471.8
16.5833,0,69.3324,139,1.67005,86,147,0,1471.6
16.6,0,69.9012,180,1.68948,86,147,0,1471.6
16.6167,0,69.9012,146,1.7089,87,146,0,1471.6
16.6333,0,70.4376,144,1.72845,87,146,0,1471.4
16.65,0,70.6752,162,1.74808,87,147,0,1471.2
16.6667,0,70.8408,143,1.76776,88,146,0,1471.2
16.6833,0,71.3808,162,1.78759,88,146,0,1471
16.7,0,71.784,149,1.80753,89,146,0,1471
16.7167,0,72.0864,145,1.82755,89,147,0,1470.8
16.7333,0,72.4212,165,1.84769,89,147,0,1470.8
16.75,0,72.5904,164,1.86783,90,147,0,1470.8
16.7667,0,72.7236,147,1.88805,90,148,0,1470.6
16.7833,0,72.8244,126,1.90826,90,148,0,1470.6
16.8,0,73.0584,116,1.92855,90,148,0,1470.6
16.8167,0,73.3968,138,1.94894,91,148,0,1470.4
16.8333,0,73.5624,127,1.96938,91,148,0,1470.4
16.85,0,73.8,148,1.98988,81,149,0,1470.4
16.8667,0,74.0664,179,2.01045,78,148,0,1470.4
16.8833,0,74.0664,176,2.03102,79,149,0,1470.4
16.9,0,74.4012,165,2.05169,79,148,0,1470.4
16.9167,0,74.7396,158,2.07245,79,149,0,1470.4
16.9333,0,75.1068,153,2.09332,79,149,0,1470.2
16.95,0,75.1068,176,2.11418,80,149,0,1470
16.9667,0,75.4776,161,2.13514,80,150,0,1469.8
16.9833,0,76.1508,191,2.1563,80,150,0,1469.8
17,0,76.1508,181,2.17745,81,151,0,1469.6
17.0167,0,76.4172,162,2.19868,81,150,0,1469.6
17.0333,0,76.9572,179,2.22005,81,151,0,1469.4
17.05,0,77.2236,184,2.24151,82,151,0,1469.4
17.0667,0,77.526,180,2.26304,82,151,0,1469.4
17.0833,0,77.5944,165,2.28459,82,151,0,1469.4
17.1,0,78.066,160,2.30628,83,152,0,1469.2
17.1167,0,78.3684,160,2.32805,83,152,0,1469
17.1333,0,78.3684,152,2.34984,83,153,0,1469
17.15,0,78.9372,163,2.37176,84,153,0,1468.8
17.1667,0,79.2072,161,2.39374,84,153,0,1468.8
17.1833,0,79.2072,136,2.41577,84,153,0,1468.6
17.2,0,79.5096,143,2.43783,84,153,0,1468.6
17.2167,0,80.316,134,2.46014,85,154,0,1468.4
17.2333,0,80.316,165,2.48245,85,153,0,1468.4
17.25,0,80.316,160,2.50476,85,154,0,1468.2
17.2667,0,80.9856,139,2.52726,86,154,0,1468
17.2833,0,81.324,135,2.54985,86,154,0,1467.8
17.3,0,81.6264,150,2.57254,86,154,0,1467.6
17.3167,0,81.9288,139,2.59528,87,154,0,1467.6
17.3333,0,81.9288,129,2.61804,87,154,0,1467.4
17.35,0,82.2312,126,2.64088,87,154,0,1467.2
17.3667,0,82.8684,148,2.66392,81,154,0,1467.2
17.3833,0,82.8684,194,2.68694,78,154,0,1467
17.4,0,83.5056,173,2.71013,78,154,0,1466.8
17.4167,0,83.5056,174,2.73333,79,154,0,1466.8
17.4333,0,83.8404,178,2.75662,79,154,0,1466.6
17.45,0,84.1428,164,2.77999,79,154,0,1466.6
17.4667,0,84.1428,159,2.80334,79,155,0,1466.4
17.4833,0,84.4812,154,2.82681,80,155,0,1466.4
17.5,0,84.6468,167,2.85035,80,155,0,1466.2
17.5167,0,85.3884,171,2.87404,80,155,0,1466.2
17.5333,0,85.4892,189,2.89779,80,156,0,1466
17.55,0,85.824,160,2.92163,81,156,0,1466
17.5667,0,85.824,145,2.94547,81,156,0,1465.8
17.5833,0,86.4972,159,2.96952,81,156,0,1465.6
17.6,0,86.8644,167,2.99362,82,156,0,1465.4
17.6167,0,87.1992,177,3.01785,82,156,0,1465.4
17.6333,0,87.1992,175,3.04207,82,156,0,1465.2
17.65,0,87.57,154,3.06639,82,156,0,1465
17.6667,0,87.9048,134,3.09084,83,157,0,1465
17.6833,0,88.2756,139,3.11533,83,156,0,1464.6
17.7,0,88.6464,122,3.13996,83,157,0,1464.4
17.7167,0,88.6464,141,3.16458,83,157,0,1464.4
17.7333,0,88.6464,178,3.1892,84,157,0,1464.2
17.75,0,89.3844,170,3.21406,84,156,0,1464.2
17.7667,0,89.2152,156,3.23884,84,156,0,1464
17.7833,0,89.7552,158,3.26375,84,156,0,1464
17.8,0,89.3844,148,3.28858,84,156,0,1463.8
17.8167,0,89.7552,144,3.31351,85,156,0,1463.6
17.8333,0,89.82,138,3.33846,85,156,0,1463.4
17.85,0,90.1224,150,3.36349,85,156,0,1463.4
17.8667,0,90.1224,131,3.38853,85,157,0,1463.2
17.8833,0,90.864,167,3.41376,85,156,0,1463
17.9,0,90.864,159,3.439,86,156,0,1462.8
17.9167,0,91.2636,142,3.46436,86,156,0,1462.6
17.9333,0,91.6344,167,3.48981,86,156,0,1462.4
17.95,0,92.0376,136,3.51538,86,156,0,1462.2
17.9667,0,92.0376,150,3.54094,87,156,0,1462.2
17.9833,0,92.4408,131,3.56662,84,156,0,1462
18,0,92.9124,157,3.59243,82,156,0,1461.8
18.0167,0,92.8116,189,3.61821,82,156,0,1461.6
18.0333,0,93.2148,184,3.6441,82,156,0,1461.4
18.05,0,93.5496,192,3.67009,83,155,0,1461.2
18.0667,0,93.618,192,3.69612,83,156,0,1460.8
18.0833,0,93.8844,179,3.72217,83,156,0,1460.8
18.1,0,94.0212,186,3.74829,83,156,0,1460.6
18.1167,0,94.4568,183,3.77453,83,157,0,1460.4
18.1333,0,94.5252,177,3.80078,83,157,0,1460.2
18.15,0,94.4568,196,3.82702,84,158,0,1460
18.1667,0,94.86,188,3.85337,84,158,0,1460
18.1833,0,95.1948,177,3.87981,84,159,0,1459.8
18.2,0,95.2632,168,3.90628,84,159,0,1459.8
18.2167,0,95.2632,193,3.93274,84,159,0,1459.6
18.2333,0,95.6988,209,3.95932,85,160,0,1459.6
18.25,0,96.1344,198,3.98603,85,160,0,1459.6
18.2667,0,96.2028,192,4.01275,85,160,0,1459.4
18.2833,0,96.2028,201,4.03947,85,160,0,1459.2
18.3,0,96.9084,216,4.06639,85,161,0,1459.2
18.3167,0,96.9084,199,4.09331,86,161,0,1459
18.3333,0,97.2432,198,4.12035,86,161,0,1459
18.35,0,97.4124,198,4.14741,86,161,0,1459
18.3667,0,97.4124,179,4.17444,86,161,0,1458.8
18.3833,0,97.614,180,4.20155,86,162,0,1458.8
18.4,0,97.9488,199,4.22876,87,162,0,1458.6
18.4167,0,97.848,184,4.25594,87,162,0,1458.4
18.4333,0,98.3196,185,4.28325,87,162,0,1458
18.45,0,98.6544,138,4.31066,87,163,0,1457.8
18.4667,0,98.6544,134,4.33809,87,163,0,1457.8
18.4833,0,98.6544,149,4.36547,87,163,0,1457.6
18.5,0,98.7552,183,4.3929,88,163,0,1457.6
18.5167,0,99.0252,165,4.42041,88,163,0,1457.4
18.5333,0,99.396,159,4.44804,88,163,0,1457.4
18.55,0,99.396,191,4.47563,88,163,0,1457.2
18.5667,0,99.7632,185,4.50334,88,163,0,1457.2
18.5833,0,99.7632,122,4.53105,88,164,0,1456.8
18.6,0,100.134,112,4.55886,88,163,0,1456.8
18.6167,0,100.134,158,4.58668,89,164,0,1456.6
18.6333,0,100.134,165,4.61449,89,164,0,1456.4
18.65,0,100.501,179,4.64241,89,163,0,1456
18.6667,0,100.501,153,4.67033,89,164,0,1455.8
18.6833,0,100.501,161,4.69825,89,163,0,1455.8
18.7,0,100.602,164,4.72622,89,163,0,1455.6
18.7167,0,100.872,172,4.75421,89,163,0,1455.6
18.7333,0,100.872,164,4.78226,88,163,0,1455.4
18.75,0,101.243,190,4.81035,83,163,0,1455.2
18.7667,0,101.646,177,4.83859,84,163,0,1455.2
18.7833,0,101.243,199,4.86671,84,163,0,1455.2
18.8,0,101.243,153,4.89483,84,163,0,1454.8
18.8167,0,101.243,115,4.92296,84,163,0,1454.6
18.8333,0,101.646,157,4.95119,84,163,0,1454.4
18.85,0,101.646,151,4.97945,84,163,0,1454.4
18.8667,0,102.013,157,5.00776,84,162,0,1454.2
18.8833,0,102.013,146,5.0361,84,162,0,1454.2
18.9,0,102.013,104,5.06444,84,162,0,1453.8
18.9167,0,102.416,141,5.09292,84,162,0,1453.6
18.9333,0,102.416,151,5.12134,84,163,0,1453.4
18.95,0,102.787,180,5.14989,84,162,0,1453.2
18.9667,0,102.416,171,5.17834,85,162,0,1453.2
18.9833,0,102.416,178,5.20679,85,162,0,1453
19,0,102.989,182,5.2354,85,163,0,1452.8
19.0167,0,103.057,201,5.26402,85,162,0,1452.4
19.0333,0,103.594,166,5.2928,85,163,0,1452.2
19.05,0,103.493,168,5.32155,85,163,0,1452
19.0667,0,103.19,175,5.35021,85,162,0,1451.8
19.0833,0,103.594,183,5.37899,86,162,0,1451.6
19.1,0,103.493,191,5.40773,86,162,0,1451.4
19.1167,0,103.997,219,5.43662,86,163,0,1451.2
19.1333,0,103.997,225,5.46551,86,163,0,1451.2
19.15,0,103.997,226,5.4944,86,163,0,1451
19.1667,0,104.4,219,5.5234,86,163,0,1451
19.1833,0,104.4,203,5.5524,86,164,0,1450.6
19.2,0,104.4,182,5.5814,86,164,0,1450.6
19.2167,0,104.4,190,5.6104,86,164,0,1450.4
19.2333,0,104.4,203,5.6394,86,165,0,1450.4
19.25,0,104.803,208,5.66851,87,165,0,1450.2
19.2667,0,104.803,154,5.69762,87,165,0,1449.8
19.2833,0,104.803,175,5.72673,87,165,0,1449.8
19.3,0,104.803,178,5.75584,87,165,0,1449.4
19.3167,0,104.4,181,5.78487,87,166,0,1449.2
19.3333,0,103.19,137,5.81354,86,166,0,1449
